[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:19) ] - [ main:2 ] -   sdssssssssssssss
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:12 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:13 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:13 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:13 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:13 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:13 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:14 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:14 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:18 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:18 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:19 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:19 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:19 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:19 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:19 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:19 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:20 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:20 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:20 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:20 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:20 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:20 ] -   CCC
